file,header_index,line_idx,actual_day,expected_day,matches,header_text
book2_compiled.md,1,1167,28,28,True,28 DAYS UNTIL BRIDGE ACTIVATION
book2_compiled.md,2,2065,28,28,True,28 DAYS UNTIL BRIDGE ACTIVATION
book2_compiled.md,3,2602,27,27,True,27 DAYS UNTIL BRIDGE ACTIVATION
book2_compiled.md,4,2955,27,27,True,27 DAYS UNTIL BRIDGE ACTIVATION
book2_compiled.md,5,3300,26,26,True,26 DAYS UNTIL BRIDGE ACTIVATION
book2_compiled.md,6,3811,26,26,True,26 DAYS UNTIL BRIDGE ACTIVATION
book2_compiled.md,7,4562,25,25,True,25 DAYS UNTIL BRIDGE ACTIVATION
book2_compiled.md,8,5405,25,25,True,25 DAYS UNTIL BRIDGE ACTIVATION
book2_compiled.md,9,5632,24,24,True,24 DAYS UNTIL BRIDGE ACTIVATION
book2_compiled.md,10,5650,24,24,True,24 DAYS UNTIL BRIDGE ACTIVATION
book2_compiled.md,11,5874,24,24,True,24 DAYS UNTIL BRIDGE ACTIVATION
book2_compiled.md,12,6484,23,23,True,23 DAYS UNTIL BRIDGE ACTIVATION
book2_compiled.md,13,8063,23,23,True,23 DAYS UNTIL BRIDGE ACTIVATION
book2_compiled.md,14,8492,22,22,True,22 DAYS UNTIL BRIDGE ACTIVATION
book2_compiled.md,15,9756,22,22,True,22 DAYS UNTIL BRIDGE ACTIVATION
book2_compiled.md,16,10397,21,21,True,21 DAYS UNTIL BRIDGE ACTIVATION
book2_compiled.md,17,11208,21,21,True,21 DAYS UNTIL BRIDGE ACTIVATION
book3_compiled_renumbered.md,1,5,21,21,True,21 DAYS UNTIL BRIDGE ACTIVATION
book3_compiled_renumbered.md,2,203,20,20,True,20 DAYS UNTIL BRIDGE ACTIVATION
book3_compiled_renumbered.md,3,356,19,19,True,19 DAYS UNTIL BRIDGE ACTIVATION
book3_compiled_renumbered.md,4,876,18,18,True,18 DAYS UNTIL BRIDGE ACTIVATION
book3_compiled_renumbered.md,5,1484,16,16,True,16 DAYS UNTIL BRIDGE ACTIVATION
book3_compiled_renumbered.md,6,1903,15,15,True,15 DAYS UNTIL BRIDGE ACTIVATION
book3_compiled_renumbered.md,7,1923,14,14,True,14 DAYS UNTIL BRIDGE ACTIVATION
book3_compiled_renumbered.md,8,2269,13,13,True,13 DAYS UNTIL BRIDGE ACTIVATION
book3_compiled_renumbered.md,9,3414,12,12,True,12 DAYS UNTIL BRIDGE ACTIVATION
book3_compiled_renumbered.md,10,3726,10,10,True,10 DAYS UNTIL BRIDGE ACTIVATION
book3_compiled_renumbered.md,11,4127,9,9,True,9 DAYS UNTIL BRIDGE ACTIVATION
book3_compiled_renumbered.md,12,4492,8,8,True,8 DAYS UNTIL BRIDGE ACTIVATION
book3_compiled_renumbered.md,13,5955,7,7,True,7 DAYS UNTIL BRIDGE ACTIVATION
book3_compiled_renumbered.md,14,6437,6,6,True,6 DAYS UNTIL BRIDGE ACTIVATION
book3_compiled_renumbered.md,15,6851,5,5,True,5 DAYS UNTIL BRIDGE ACTIVATION
book3_compiled_renumbered.md,16,6987,4,4,True,4 DAYS UNTIL BRIDGE ACTIVATION
book3_compiled_renumbered.md,17,7021,2,2,True,2 DAYS UNTIL BRIDGE ACTIVATION
book3_compiled_renumbered.md,18,7620,1,1,True,1 DAYS UNTIL BRIDGE ACTIVATION
book3_compiled_renumbered.md,19,7912,0,0,True,0 DAYS UNTIL BRIDGE ACTIVATION
